@HD	VN:1.3	SO:coordinate
@SQ	SN:NW_017858716.1	LN:63780
@SQ	SN:NW_017858717.1	LN:167337
@SQ	SN:NW_017858718.1	LN:917510
@SQ	SN:NW_017858719.1	LN:264381
@SQ	SN:NW_017858720.1	LN:7539
@SQ	SN:NW_017858721.1	LN:586335
@SQ	SN:NW_017858722.1	LN:7700
@SQ	SN:NW_017858723.1	LN:131292
@SQ	SN:NW_017858724.1	LN:47381
@SQ	SN:NW_017858725.1	LN:1373
@SQ	SN:NW_017858726.1	LN:5249
@SQ	SN:NW_017858727.1	LN:1113
@SQ	SN:NW_017858728.1	LN:98927
@SQ	SN:NW_017858729.1	LN:214562
@SQ	SN:NW_017858730.1	LN:486740
@SQ	SN:NW_017858731.1	LN:10816
@SQ	SN:NW_017858732.1	LN:706342
@SQ	SN:NW_017858733.1	LN:156791
@SQ	SN:NW_017858734.1	LN:49278
@SQ	SN:NW_017858735.1	LN:943158
@SQ	SN:NW_017858736.1	LN:1956
@SQ	SN:NW_017858737.1	LN:1038
@SQ	SN:NW_017858738.1	LN:1313
@SQ	SN:NW_017858739.1	LN:4100
@SQ	SN:NW_017858740.1	LN:11894
@SQ	SN:NW_017858741.1	LN:336037
@SQ	SN:NW_017858742.1	LN:184967
@SQ	SN:NW_017858743.1	LN:3259
@SQ	SN:NW_017858744.1	LN:115961
@SQ	SN:NW_017858745.1	LN:1864
@SQ	SN:NW_017858746.1	LN:1504
@SQ	SN:NW_017858747.1	LN:129466
@SQ	SN:NW_017858748.1	LN:64826
@SQ	SN:NW_017858749.1	LN:2761
@SQ	SN:NW_017858750.1	LN:27214
@SQ	SN:NW_017858751.1	LN:1581898
@SQ	SN:NW_017858752.1	LN:1080
@SQ	SN:NW_017858753.1	LN:1668
@SQ	SN:NW_017858754.1	LN:2777
@SQ	SN:NW_017858755.1	LN:2007
@SQ	SN:NW_017858756.1	LN:4753
@SQ	SN:NW_017858757.1	LN:106758
@SQ	SN:NW_017858758.1	LN:162664
@SQ	SN:NW_017858759.1	LN:4978
@SQ	SN:NW_017858760.1	LN:1987
@SQ	SN:NW_017858761.1	LN:3004
@SQ	SN:NW_017858762.1	LN:1410
@SQ	SN:NW_017858763.1	LN:12522
@SQ	SN:NW_017858764.1	LN:221748
@SQ	SN:NW_017858765.1	LN:1427
@SQ	SN:NW_017858766.1	LN:338415
@SQ	SN:NW_017858767.1	LN:17597
@SQ	SN:NW_017858768.1	LN:4777
@SQ	SN:NW_017858769.1	LN:64494
@SQ	SN:NW_017858770.1	LN:1594209
@SQ	SN:NW_017858771.1	LN:1324
@SQ	SN:NW_017858772.1	LN:28082
@SQ	SN:NW_017858773.1	LN:7340
@SQ	SN:NW_017858774.1	LN:75130
@SQ	SN:NW_017858775.1	LN:220517
@SQ	SN:NW_017858776.1	LN:42859
@SQ	SN:NW_017858777.1	LN:2144
@SQ	SN:NW_017858778.1	LN:4130
@SQ	SN:NW_017858779.1	LN:3230
@SQ	SN:NW_017858780.1	LN:3966
@SQ	SN:NW_017858781.1	LN:717793
@SQ	SN:NW_017858782.1	LN:4885
@SQ	SN:NW_017858783.1	LN:1282
@SQ	SN:NW_017858784.1	LN:601690
@SQ	SN:NW_017858785.1	LN:247856
@SQ	SN:NW_017858786.1	LN:19616
@SQ	SN:NW_017858787.1	LN:85287
@SQ	SN:NW_017858788.1	LN:3022
@SQ	SN:NW_017858789.1	LN:53538
@SQ	SN:NW_017858790.1	LN:333863
@SQ	SN:NW_017858791.1	LN:55045
@SQ	SN:NW_017858792.1	LN:15796
@SQ	SN:NW_017858793.1	LN:5547
@SQ	SN:NW_017858794.1	LN:2907
@SQ	SN:NW_017858795.1	LN:669681
@SQ	SN:NW_017858796.1	LN:20015
@SQ	SN:NW_017858797.1	LN:2632
@SQ	SN:NW_017858798.1	LN:19361
@SQ	SN:NW_017858799.1	LN:2992
@SQ	SN:NW_017858800.1	LN:111469
@SQ	SN:NW_017858801.1	LN:4841
@SQ	SN:NW_017858802.1	LN:230783
@SQ	SN:NW_017858803.1	LN:49311
@SQ	SN:NW_017858804.1	LN:1753
@SQ	SN:NW_017858805.1	LN:6269
@SQ	SN:NW_017858806.1	LN:24862
@SQ	SN:NW_017858807.1	LN:2809
@SQ	SN:NW_017858808.1	LN:1297
@SQ	SN:NW_017858809.1	LN:1103
@SQ	SN:NW_017858810.1	LN:4397
@SQ	SN:NW_017858811.1	LN:5279
@SQ	SN:NW_017858812.1	LN:20319
@SQ	SN:NW_017858813.1	LN:372099
@SQ	SN:NW_017858814.1	LN:327577
@SQ	SN:NW_017858815.1	LN:19793
@SQ	SN:NW_017858816.1	LN:370126
@SQ	SN:NW_017858817.1	LN:32317
@SQ	SN:NW_017858818.1	LN:1326
@SQ	SN:NW_017858819.1	LN:10301
@SQ	SN:NW_017858820.1	LN:2108
@SQ	SN:NW_017858821.1	LN:6858
@SQ	SN:NW_017858822.1	LN:43568
@SQ	SN:NW_017858823.1	LN:3415
@SQ	SN:NW_017858824.1	LN:609797
@SQ	SN:NW_017858825.1	LN:17023
@SQ	SN:NW_017858826.1	LN:6428
@SQ	SN:NW_017858827.1	LN:1283
@SQ	SN:NW_017858828.1	LN:34003
@SQ	SN:NW_017858829.1	LN:1030
@SQ	SN:NW_017858830.1	LN:5449
@SQ	SN:NW_017858831.1	LN:6618
@SQ	SN:NW_017858832.1	LN:32751
@SQ	SN:NW_017858833.1	LN:4452
@SQ	SN:NW_017858834.1	LN:1393
@SQ	SN:NW_017858835.1	LN:1641
@SQ	SN:NW_017858836.1	LN:23910
@SQ	SN:NW_017858837.1	LN:1421
@SQ	SN:NW_017858838.1	LN:44175
@SQ	SN:NW_017858839.1	LN:9001
@SQ	SN:NW_017858840.1	LN:304039
@SQ	SN:NW_017858841.1	LN:8636
@SQ	SN:NW_017858842.1	LN:895299
@SQ	SN:NW_017858843.1	LN:114933
@SQ	SN:NW_017858844.1	LN:118853
@SQ	SN:NW_017858845.1	LN:4124
@SQ	SN:NW_017858846.1	LN:1488
@SQ	SN:NW_017858847.1	LN:1619
@SQ	SN:NW_017858848.1	LN:1327
@SQ	SN:NW_017858849.1	LN:10836
@SQ	SN:NW_017858850.1	LN:1278
@SQ	SN:NW_017858851.1	LN:22227
@SQ	SN:NW_017858852.1	LN:1244
@SQ	SN:NW_017858853.1	LN:2550
@SQ	SN:NW_017858854.1	LN:137751
@SQ	SN:NW_017858855.1	LN:4205
@SQ	SN:NW_017858856.1	LN:157151
@SQ	SN:NW_017858857.1	LN:4911
@SQ	SN:NW_017858858.1	LN:113077
@SQ	SN:NW_017858859.1	LN:8584
@SQ	SN:NW_017858860.1	LN:3881
@SQ	SN:NW_017858861.1	LN:463135
@SQ	SN:NW_017858862.1	LN:3632
@SQ	SN:NW_017858863.1	LN:474516
@SQ	SN:NW_017858864.1	LN:76335
@SQ	SN:NW_017858865.1	LN:2804
@SQ	SN:NW_017858866.1	LN:6208
@SQ	SN:NW_017858867.1	LN:276233
@SQ	SN:NW_017858868.1	LN:267702
@SQ	SN:NW_017858869.1	LN:2136
@SQ	SN:NW_017858870.1	LN:234283
@SQ	SN:NW_017858871.1	LN:4836
@SQ	SN:NW_017858872.1	LN:3128
@SQ	SN:NW_017858873.1	LN:31261
@SQ	SN:NW_017858874.1	LN:83315
@SQ	SN:NW_017858875.1	LN:71831
@SQ	SN:NW_017858876.1	LN:1201479
@SQ	SN:NW_017858877.1	LN:1309
@SQ	SN:NW_017858878.1	LN:94313
@SQ	SN:NW_017858879.1	LN:17139
@SQ	SN:NW_017858880.1	LN:1692
@SQ	SN:NW_017858881.1	LN:2533
@SQ	SN:NW_017858882.1	LN:12949
@SQ	SN:NW_017858883.1	LN:290915
@SQ	SN:NW_017858884.1	LN:1652
@SQ	SN:NW_017858885.1	LN:19390
@SQ	SN:NW_017858886.1	LN:8758
@SQ	SN:NW_017858887.1	LN:6760
@SQ	SN:NW_017858888.1	LN:59542
@SQ	SN:NW_017858889.1	LN:1012
@SQ	SN:NW_017858890.1	LN:4121
@SQ	SN:NW_017858891.1	LN:264632
@SQ	SN:NW_017858892.1	LN:1198
@SQ	SN:NW_017858893.1	LN:9027
@SQ	SN:NW_017858894.1	LN:1031
@SQ	SN:NW_017858895.1	LN:28883
@SQ	SN:NW_017858896.1	LN:9098
@SQ	SN:NW_017858897.1	LN:43729
@SQ	SN:NW_017858898.1	LN:5755
@SQ	SN:NW_017858899.1	LN:1893
@SQ	SN:NW_017858900.1	LN:329458
@SQ	SN:NW_017858901.1	LN:343443
@SQ	SN:NW_017858902.1	LN:445535
@SQ	SN:NW_017858903.1	LN:356258
@SQ	SN:NW_017858904.1	LN:2582
@SQ	SN:NW_017858905.1	LN:249859
@SQ	SN:NW_017858906.1	LN:1640
@SQ	SN:NW_017858907.1	LN:1432
@SQ	SN:NW_017858908.1	LN:1842
@SQ	SN:NW_017858909.1	LN:4764
@SQ	SN:NW_017858910.1	LN:520730
@SQ	SN:NW_017858911.1	LN:1033
@SQ	SN:NW_017858912.1	LN:40534
@SQ	SN:NW_017858913.1	LN:1573
@SQ	SN:NW_017858914.1	LN:151803
@SQ	SN:NW_017858915.1	LN:98371
@SQ	SN:NW_017858916.1	LN:49705
@SQ	SN:NW_017858917.1	LN:1115
@SQ	SN:NW_017858918.1	LN:59727
@SQ	SN:NW_017858919.1	LN:31496
@SQ	SN:NW_017858920.1	LN:7411
@SQ	SN:NW_017858921.1	LN:1303
@SQ	SN:NW_017858922.1	LN:316759
@SQ	SN:NW_017858923.1	LN:32289
@SQ	SN:NW_017858924.1	LN:65095
@SQ	SN:NW_017858925.1	LN:2935
@SQ	SN:NW_017858926.1	LN:255046
@SQ	SN:NW_017858927.1	LN:1685
@SQ	SN:NW_017858928.1	LN:42727
@SQ	SN:NW_017858929.1	LN:55271
@SQ	SN:NW_017858930.1	LN:51830
@SQ	SN:NW_017858931.1	LN:589422
@SQ	SN:NW_017858932.1	LN:450185
@SQ	SN:NW_017858933.1	LN:3896
@SQ	SN:NW_017858934.1	LN:1508729
@SQ	SN:NW_017858935.1	LN:1521
@SQ	SN:NW_017858936.1	LN:32733
@SQ	SN:NW_017858937.1	LN:55774
@SQ	SN:NW_017858938.1	LN:60845
@SQ	SN:NW_017858939.1	LN:229824
@SQ	SN:NW_017858940.1	LN:5865
@SQ	SN:NW_017858941.1	LN:40435
@SQ	SN:NW_017858942.1	LN:6732
@SQ	SN:NW_017858943.1	LN:185859
@SQ	SN:NW_017858944.1	LN:76297
@SQ	SN:NW_017858945.1	LN:1162
@SQ	SN:NW_017858946.1	LN:2079
@SQ	SN:NW_017858947.1	LN:6139
@SQ	SN:NW_017858948.1	LN:33336
@SQ	SN:NW_017858949.1	LN:7167
@SQ	SN:NW_017858950.1	LN:1259
@SQ	SN:NW_017858951.1	LN:167639
@SQ	SN:NW_017858952.1	LN:196268
@SQ	SN:NW_017858953.1	LN:1932
@SQ	SN:NW_017858954.1	LN:13488
@SQ	SN:NW_017858955.1	LN:3574
@SQ	SN:NW_017858956.1	LN:2462
@SQ	SN:NW_017858957.1	LN:207817
@SQ	SN:NW_017858958.1	LN:194376
@SQ	SN:NW_017858959.1	LN:2422
@SQ	SN:NW_017858960.1	LN:334491
@SQ	SN:NW_017858961.1	LN:2073
@SQ	SN:NW_017858962.1	LN:2652
@SQ	SN:NW_017858963.1	LN:394012
@SQ	SN:NW_017858964.1	LN:1152
@SQ	SN:NW_017858965.1	LN:1075
@SQ	SN:NW_017858966.1	LN:247237
@SQ	SN:NW_017858967.1	LN:1727
@SQ	SN:NW_017858968.1	LN:3805
@SQ	SN:NW_017858969.1	LN:2949
@SQ	SN:NW_017858970.1	LN:299537
@SQ	SN:NW_017858971.1	LN:4252
@SQ	SN:NW_017858972.1	LN:1267980
@SQ	SN:NW_017858973.1	LN:1642
@SQ	SN:NW_017858974.1	LN:426323
@SQ	SN:NW_017858975.1	LN:36988
@SQ	SN:NW_017858976.1	LN:3487
@SQ	SN:NW_017858977.1	LN:2487
@SQ	SN:NW_017858978.1	LN:1144
@SQ	SN:NW_017858979.1	LN:1397
@SQ	SN:NW_017858980.1	LN:11017
@SQ	SN:NW_017858981.1	LN:3544
@SQ	SN:NW_017858982.1	LN:195918
@SQ	SN:NW_017858983.1	LN:1261
@SQ	SN:NW_017858984.1	LN:2155
@SQ	SN:NW_017858985.1	LN:1404
@SQ	SN:NW_017858986.1	LN:12369
@SQ	SN:NW_017858987.1	LN:59567
@SQ	SN:NW_017858988.1	LN:8225
@SQ	SN:NW_017858989.1	LN:204495
@SQ	SN:NW_017858990.1	LN:67553
@SQ	SN:NW_017858991.1	LN:1183
@SQ	SN:NW_017858992.1	LN:12799
@SQ	SN:NW_017858993.1	LN:12850
@SQ	SN:NW_017858994.1	LN:4865
@SQ	SN:NW_017858995.1	LN:3702
@SQ	SN:NW_017858996.1	LN:1031121
@SQ	SN:NW_017858997.1	LN:6248
@SQ	SN:NW_017858998.1	LN:470767
@SQ	SN:NW_017858999.1	LN:18307
@SQ	SN:NW_017859000.1	LN:7807
@SQ	SN:NW_017859001.1	LN:112903
@SQ	SN:NW_017859002.1	LN:2350
@SQ	SN:NW_017859003.1	LN:7052
@SQ	SN:NW_017859004.1	LN:6213
@SQ	SN:NW_017859005.1	LN:5667
@SQ	SN:NW_017859006.1	LN:1131
@SQ	SN:NW_017859007.1	LN:796512
@SQ	SN:NW_017859008.1	LN:1272
@SQ	SN:NW_017859009.1	LN:2996
@SQ	SN:NW_017859010.1	LN:367981
@SQ	SN:NW_017859011.1	LN:341807
@SQ	SN:NW_017859012.1	LN:5982
@SQ	SN:NW_017859013.1	LN:6185
@SQ	SN:NW_017859014.1	LN:4162
@SQ	SN:NW_017859015.1	LN:5549
@SQ	SN:NW_017859016.1	LN:1400
@SQ	SN:NW_017859017.1	LN:1318
@SQ	SN:NW_017859018.1	LN:3368
@SQ	SN:NW_017859019.1	LN:312395
@SQ	SN:NW_017859020.1	LN:61458
@SQ	SN:NW_017859021.1	LN:7191
@SQ	SN:NW_017859022.1	LN:1300
@SQ	SN:NW_017859023.1	LN:655006
@SQ	SN:NW_017859024.1	LN:4807
@SQ	SN:NW_017859025.1	LN:307740
@SQ	SN:NW_017859026.1	LN:9383
@SQ	SN:NW_017859027.1	LN:190822
@SQ	SN:NW_017859028.1	LN:488394
@SQ	SN:NW_017859029.1	LN:384639
@SQ	SN:NW_017859030.1	LN:1009
@SQ	SN:NW_017859031.1	LN:12404
@SQ	SN:NW_017859032.1	LN:5163
@SQ	SN:NW_017859033.1	LN:1149
@SQ	SN:NW_017859034.1	LN:3970
@SQ	SN:NW_017859035.1	LN:6587
@SQ	SN:NW_017859036.1	LN:6739
@SQ	SN:NW_017859037.1	LN:306821
@SQ	SN:NW_017859038.1	LN:9752
@SQ	SN:NW_017859039.1	LN:2291
@SQ	SN:NW_017859040.1	LN:707799
@SQ	SN:NW_017859041.1	LN:12446
@SQ	SN:NW_017859042.1	LN:1520
@SQ	SN:NW_017859043.1	LN:1679
@SQ	SN:NW_017859044.1	LN:30430
@SQ	SN:NW_017859045.1	LN:58711
@SQ	SN:NW_017859046.1	LN:7516
@SQ	SN:NW_017859047.1	LN:3118
@SQ	SN:NW_017859048.1	LN:5017
@SQ	SN:NW_017859049.1	LN:3310
@SQ	SN:NW_017859050.1	LN:1291
@SQ	SN:NW_017859051.1	LN:1983
@SQ	SN:NW_017859052.1	LN:245651
@SQ	SN:NW_017859053.1	LN:1994
@SQ	SN:NW_017859054.1	LN:41071
@SQ	SN:NW_017859055.1	LN:1304
@SQ	SN:NW_017859056.1	LN:2373
@SQ	SN:NW_017859057.1	LN:2004
@SQ	SN:NW_017859058.1	LN:202382
@SQ	SN:NW_017859059.1	LN:1138
@SQ	SN:NW_017859060.1	LN:140143
@SQ	SN:NW_017859061.1	LN:86146
@SQ	SN:NW_017859062.1	LN:170681
@SQ	SN:NW_017859063.1	LN:5628
@SQ	SN:NW_017859064.1	LN:33051
@SQ	SN:NW_017859065.1	LN:2230
@SQ	SN:NW_017859066.1	LN:1564
@SQ	SN:NW_017859067.1	LN:1294
@SQ	SN:NW_017859068.1	LN:2969
@SQ	SN:NW_017859069.1	LN:294281
@SQ	SN:NW_017859070.1	LN:1392
@SQ	SN:NW_017859071.1	LN:174833
@SQ	SN:NW_017859072.1	LN:19058
@SQ	SN:NW_017859073.1	LN:116198
@SQ	SN:NW_017859074.1	LN:1942
@SQ	SN:NW_017859075.1	LN:5781
@SQ	SN:NW_017859076.1	LN:1892
@SQ	SN:NW_017859077.1	LN:215348
@SQ	SN:NW_017859078.1	LN:140775
@SQ	SN:NW_017859079.1	LN:21110
@SQ	SN:NW_017859080.1	LN:48101
@SQ	SN:NW_017859081.1	LN:10472
@SQ	SN:NW_017859082.1	LN:2876
@SQ	SN:NW_017859083.1	LN:9917
@SQ	SN:NW_017859084.1	LN:502357
@SQ	SN:NW_017859085.1	LN:1690
@SQ	SN:NW_017859086.1	LN:18755
@SQ	SN:NW_017859087.1	LN:73510
@SQ	SN:NW_017859088.1	LN:4340
@SQ	SN:NW_017859089.1	LN:5264
@SQ	SN:NW_017859090.1	LN:10773
@SQ	SN:NW_017859091.1	LN:42371
@SQ	SN:NW_017859092.1	LN:129598
@SQ	SN:NW_017859093.1	LN:563890
@SQ	SN:NW_017859094.1	LN:1841
@SQ	SN:NW_017859095.1	LN:30792
@SQ	SN:NW_017859096.1	LN:1302
@SQ	SN:NW_017859097.1	LN:6178
@SQ	SN:NW_017859098.1	LN:1446
@SQ	SN:NW_017859099.1	LN:618443
@SQ	SN:NW_017859100.1	LN:46985
@SQ	SN:NW_017859101.1	LN:1126
@SQ	SN:NW_017859102.1	LN:34437
@SQ	SN:NW_017859103.1	LN:4690
@SQ	SN:NW_017859104.1	LN:1174
@SQ	SN:NW_017859105.1	LN:6404
@SQ	SN:NW_017859106.1	LN:1039
@SQ	SN:NW_017859107.1	LN:2439
@SQ	SN:NW_017859108.1	LN:279211
@SQ	SN:NW_017859109.1	LN:1507
@SQ	SN:NW_017859110.1	LN:65626
@SQ	SN:NW_017859111.1	LN:10341
@SQ	SN:NW_017859112.1	LN:2666
@SQ	SN:NW_017859113.1	LN:89522
@SQ	SN:NW_017859114.1	LN:158494
@SQ	SN:NW_017859115.1	LN:836176
@SQ	SN:NW_017859116.1	LN:915374
@SQ	SN:NW_017859117.1	LN:1950
@SQ	SN:NW_017859118.1	LN:498056
@SQ	SN:NW_017859119.1	LN:13615
@SQ	SN:NW_017859120.1	LN:437118
@SQ	SN:NW_017859121.1	LN:6293
@SQ	SN:NW_017859122.1	LN:285569
@SQ	SN:NW_017859123.1	LN:3490
@SQ	SN:NW_017859124.1	LN:1161
@SQ	SN:NW_017859125.1	LN:91613
@SQ	SN:NW_017859126.1	LN:283188
@SQ	SN:NW_017859127.1	LN:244043
@SQ	SN:NW_017859128.1	LN:50473
@SQ	SN:NW_017859129.1	LN:1545
@SQ	SN:NW_017859130.1	LN:26167
@SQ	SN:NW_017859131.1	LN:6672
@SQ	SN:NW_017859132.1	LN:14775
@SQ	SN:NW_017859133.1	LN:168357
@SQ	SN:NW_017859134.1	LN:401287
@SQ	SN:NW_017859135.1	LN:1051
@SQ	SN:NW_017859136.1	LN:144289
@SQ	SN:NW_017859137.1	LN:1166
@SQ	SN:NW_017859138.1	LN:2297
@SQ	SN:NW_017859139.1	LN:2694
@SQ	SN:NW_017859140.1	LN:9578
@SQ	SN:NW_017859141.1	LN:2269
@SQ	SN:NW_017859142.1	LN:106312
@SQ	SN:NW_017859143.1	LN:1474
@SQ	SN:NW_017859144.1	LN:1734
@SQ	SN:NW_017859145.1	LN:180785
@SQ	SN:NW_017859146.1	LN:41335
@SQ	SN:NW_017859147.1	LN:195577
@SQ	SN:NW_017859148.1	LN:1019
@SQ	SN:NW_017859149.1	LN:1322
@SQ	SN:NW_017859150.1	LN:295609
@SQ	SN:NW_017859151.1	LN:4588
@SQ	SN:NW_017859152.1	LN:2706
@SQ	SN:NW_017859153.1	LN:184384
@SQ	SN:NW_017859154.1	LN:91042
@SQ	SN:NW_017859155.1	LN:312007
@SQ	SN:NW_017859156.1	LN:40891
@SQ	SN:NW_017859157.1	LN:1164
@SQ	SN:NW_017859158.1	LN:105540
@SQ	SN:NW_017859159.1	LN:12139
@SQ	SN:NW_017859160.1	LN:4788
@SQ	SN:NW_017859161.1	LN:2706
@SQ	SN:NW_017859162.1	LN:95305
@SQ	SN:NW_017859163.1	LN:1728
@SQ	SN:NW_017859164.1	LN:319956
@SQ	SN:NW_017859165.1	LN:1121
@SQ	SN:NW_017859166.1	LN:222070
@SQ	SN:NW_017859167.1	LN:91881
@SQ	SN:NW_017859168.1	LN:37477
@SQ	SN:NW_017859169.1	LN:1249
@SQ	SN:NW_017859170.1	LN:563379
@SQ	SN:NW_017859171.1	LN:129801
@SQ	SN:NW_017859172.1	LN:1687
@SQ	SN:NW_017859173.1	LN:3939
@SQ	SN:NW_017859174.1	LN:1641
@SQ	SN:NW_017859175.1	LN:157323
@SQ	SN:NW_017859176.1	LN:1564
@SQ	SN:NW_017859177.1	LN:438028
@SQ	SN:NW_017859178.1	LN:4169
@SQ	SN:NW_017859179.1	LN:3456
@SQ	SN:NW_017859180.1	LN:51443
@SQ	SN:NW_017859181.1	LN:1009
@SQ	SN:NW_017859182.1	LN:9412
@SQ	SN:NW_017859183.1	LN:2966
@SQ	SN:NW_017859184.1	LN:125952
@SQ	SN:NW_017859185.1	LN:1381
@SQ	SN:NW_017859186.1	LN:1538
@SQ	SN:NW_017859187.1	LN:142943
@SQ	SN:NW_017859188.1	LN:26310
@SQ	SN:NW_017859189.1	LN:118906
@SQ	SN:NW_017859190.1	LN:6040
@SQ	SN:NW_017859191.1	LN:1559479
@SQ	SN:NW_017859192.1	LN:276255
@SQ	SN:NW_017859193.1	LN:1378
@SQ	SN:NW_017859194.1	LN:12740
@SQ	SN:NW_017859195.1	LN:2673
@SQ	SN:NW_017859196.1	LN:568356
@SQ	SN:NW_017859197.1	LN:1494
@SQ	SN:NW_017859198.1	LN:57919
@SQ	SN:NW_017859199.1	LN:75398
@SQ	SN:NW_017859200.1	LN:7734
@SQ	SN:NW_017859201.1	LN:3482
@SQ	SN:NW_017859202.1	LN:22707
@SQ	SN:NW_017859203.1	LN:3311
@SQ	SN:NW_017859204.1	LN:1685
@SQ	SN:NW_017859205.1	LN:254067
@SQ	SN:NW_017859206.1	LN:65196
@SQ	SN:NW_017859207.1	LN:7296
@SQ	SN:NW_017859208.1	LN:1835
@SQ	SN:NW_017859209.1	LN:4325
@SQ	SN:NW_017859210.1	LN:1313
@SQ	SN:NW_017859211.1	LN:1354
@SQ	SN:NW_017859212.1	LN:1205
@SQ	SN:NW_017859213.1	LN:2911
@SQ	SN:NW_017859214.1	LN:17779
@SQ	SN:NW_017859215.1	LN:1626
@SQ	SN:NW_017859216.1	LN:1001
@SQ	SN:NW_017859217.1	LN:3559
@SQ	SN:NW_017859218.1	LN:257504
@SQ	SN:NW_017859219.1	LN:6930
@SQ	SN:NW_017859220.1	LN:311742
@SQ	SN:NW_017859221.1	LN:14512
@SQ	SN:NW_017859222.1	LN:2907
@SQ	SN:NW_017859223.1	LN:7243
@SQ	SN:NW_017859224.1	LN:146674
@SQ	SN:NW_017859225.1	LN:3269
@SQ	SN:NW_017859226.1	LN:94120
@SQ	SN:NW_017859227.1	LN:288124
@SQ	SN:NW_017859228.1	LN:37418
